serial,constituency_number,township,ward_village
1,1,ကချင်ြပည်နယ်,ပူတာအိခရိင် တစ်ခလး။
2,2,ကချင်ြပည်နယ်,ြမစ် ကီးနား မို ့နယ် တစ်ခလး။
3,3,ကချင်ြပည်နယ်,ဝိင်း မာ် မို ့နယ် တစ်ခလး။
4,4,ကချင်ြပည်နယ်,တနိင်း မို ့နယ် တစ်ခလး။
5,5,ကချင်ြပည်နယ်,ချီ ဖွ မို ့နယ်
5,5,ကချင်ြပည်နယ်,ဆာ့ လာ် မို ့နယ် နှင့် အင်ဂျန်းယန် မို ့နယ်။
6,6,ကချင်ြပည်နယ်,မိးညင်း မို ့နယ်အတွင်းရှိ  2။ မို ့မရပ်ကက  ွ (် မိးညင်း မို ့)
6,6,ကချင်ြပည်နယ်,3။ အတ်ကျင်းရပ်ကွက် (မိးညင်း  မို ့)
6,6,ကချင်ြပည်နယ်,4။  ့  ကွက(် မိးညင်း မို ့)
6,6,ကချင်ြပည်နယ်,5။  အာင်သ ြပ  ရပ်ကွက်(မိးညင်း မို ့)
6,6,ကချင်ြပည်နယ်,6။ ပင်လ  ကျးရွာအပ်စ
6,6,ကချင်ြပည်နယ်,7။  မာ်ဟန်  ကျးရွာ အပ်စ
6,6,ကချင်ြပည်နယ်,8။  ညာင်ကိင်း  ကျးရွာ အပ်စ
6,6,ကချင်ြပည်နယ်,9။ ကာတူ  ကျးရွာ  အပ်စ
6,6,ကချင်ြပည်နယ်,10။  ဆယ်မိင်ရွာသစ်  ကျးရွာ  အပ်စ
6,6,ကချင်ြပည်နယ်,11။ နန် ့ပတ်  ကျးရွာ အပ်စ
6,6,ကချင်ြပည်နယ်,12။ ပင်းဟဲ ကျးရွာ အပ်စ
6,6,ကချင်ြပည်နယ်,13။ ရွာသစ်ကန်း ကျးရွာ အပ်စ
6,6,ကချင်ြပည်နယ်,14။အင် ကင်းကန်း ကျးရွာ  အပ်စ
6,6,ကချင်ြပည်နယ်,15။ ဘီလူး ကျးရွာ အပ်စ
6,6,ကချင်ြပည်နယ်,16။ ညာင်ကန်း ကျးရွာ  အပ်စ
6,6,ကချင်ြပည်နယ်,17။ ဟဲလ ကျးရွာ အပ်စ
6,6,ကချင်ြပည်နယ်,18။ နန်းမား ကျးရွာအပ်စ
6,6,ကချင်ြပည်နယ်,19။ နမ့် စာ် လာ် ကျးရွာအပ်စ
6,6,ကချင်ြပည်နယ်,20။ အင်းကန်း  ကျးရွာ  အပ်စ
6,6,ကချင်ြပည်နယ်,21။  ညာင်ပင်သာ ကျးရွာအပ်စ
6,6,ကချင်ြပည်နယ်,22။  တာင်အင်း  ကျးရွာ အပ်စ
6,6,ကချင်ြပည်နယ်,23။ လယ်မီး ကျးရွာ အပ်စ။
7,7,ကချင်ြပည်နယ်,မိးညင်း မို ့နယ်အတွင်းရှိ  2။ ြမသီတာရပ်ကွက်(ဟိပင် မို ့)
7,7,ကချင်ြပည်နယ်,3။  မို ့မ တာင် ရပ်ကွက်  (ဟိပင် မို ့)
7,7,ကချင်ြပည်နယ်,4။ မို ့မ ြမာက်ရပ်ကွက်(ဟိပင် မို ့)
7,7,ကချင်ြပည်နယ်,5။ နန် ့မွနး်  ကျးရွာ အပ်စ
7,7,ကချင်ြပည်နယ်,6။ လးတ  ကျးရွာ အပ်စ
7,7,ကချင်ြပည်နယ်,7။ မမန်ကိင်  ကျးရွာ အပ်စ
7,7,ကချင်ြပည်နယ်,8။ လွဲမွန်  ကျးရွာ အပ်စ
7,7,ကချင်ြပည်နယ်,9။  ညာင်ပင်  ကျးရွာ အပ်စ
7,7,ကချင်ြပည်နယ်,10။လးစန် ့ ကျးရွာ အပ်စ
7,7,ကချင်ြပည်နယ်,11။  ချာင်းဝ  ကျးရွာ အပ်စ
7,7,ကချင်ြပည်နယ်,12။မြပင်  ကျးရွာ အပ်စ
7,7,ကချင်ြပည်နယ်,13။ ပန်းလား  ကျးရွာ အပ်စ
7,7,ကချင်ြပည်နယ်,14။ဟဲပ  ကျးရွာ အပ်စ
7,7,ကချင်ြပည်နယ်,15။ မိင်းပတ်  ကျးရွာအပ်စ
7,7,ကချင်ြပည်နယ်,16။တကွင်း ကျးရွာအပ်စ
7,7,ကချင်ြပည်နယ်,17။ အင်း လး  ကျးရွာအပ်စ
7,7,ကချင်ြပည်နယ်,18။ မို ့သစ်က လး ကျးရွာအပ်စ
7,7,ကချင်ြပည်နယ်,19။ နန် ့ရင်း  ကျးရွာ  အပ်စ
7,7,ကချင်ြပည်နယ်,20။  ကာ ကီးကွငး်  ကျးရွာ  အပ်စ
7,7,ကချင်ြပည်နယ်,21။ ခနစ်မိင်ကန်းတန်း ကျးရွာ  အပ်စ
7,7,ကချင်ြပည်နယ်,22။ ရွာသစ် ကီး  ကျးရွာ အပ်စ
7,7,ကချင်ြပည်နယ်,23။  ဇာတိကန်း ကျးရွာအပ်စ။
8,8,ကချင်ြပည်နယ်,မိး ကာင်း မို ့နယ် တစ်ခလး။
9,9,ကချင်ြပည်နယ်,ဖားကန် ့မို ့နယ် တစ်ခလး။
10,10,ကချင်ြပည်နယ်,ဗန်း မာ် မို ့နယ် တစ်ခလး။
11,11,ကချင်ြပည်နယ်,မိး မာက် မို ့နယ် တစ်ခလး။
12,12,ကယားြပည်နယ်,မစီ မို ့နယ် နှင့် ရကူ မို ့နယ်။
1,1,ကယားြပည်နယ်,လွိုင် ကာ် မို ့နယ် အတွငး် ရှိ 1။  (လွိုင် ကာ် မို ့)
1,1,ကယားြပည်နယ်,2။  နာင်ယား (ခ) ရပ်ကွက်(လွိုင် ကာ် မို ့)
1,1,ကယားြပည်နယ်,3။  မင်းစရပ်ကွက်(လွိုင် ကာ် မို ့)
1,1,ကယားြပည်နယ်,4။  ဒါနိးကူးရပ်ကွက်  (လွိုင် ကာ် မို ့)
1,1,ကယားြပည်နယ်,5။ ချိကယ် ကျးရွာအပ်စ
1,1,ကယားြပည်နယ်,6။ တီးလ ကျးရွာ  အပ်စ
1,1,ကယားြပည်နယ်,7။ လွိုင်လင် လး ကျးရွာအပ်စ
1,1,ကယားြပည်နယ်,8။ ကန်းသာ ကျးရွာ  အပ်စ
1,1,ကယားြပည်နယ်,9။  ဒါ ပ ကလဲ ကျးရွာအပ်စ
1,1,ကယားြပည်နယ်,10။ နိးကိး ကျးရွာ  အပ်စ
1,1,ကယားြပည်နယ်,11။ ထီးစဲခါး ကျးရွာအပ်စ
1,1,ကယားြပည်နယ်,12။ နွားလဝိး ကျးရွာ အပ်စ။
2,2,ကယားြပည်နယ်,လွိုင် ကာ် မို ့နယ်အတွင်းရှိ 1။  မို ့)
2,2,ကယားြပည်နယ်,2။ ဓမ္မာရရပ်ကွက(် လွိုင် ကာ် မို ့)
2,2,ကယားြပည်နယ်,3။ ရ တာင်ရပ်ကွက်  (လွိုင် ကာ် မို ့)
2,2,ကယားြပည်နယ်,4။ မဂလာရပ်ကွက(် လွိုင် ကာ် မို ့)
2,2,ကယားြပည်နယ်,5။ မိင်းလး  ရပ်ကွက်(လွိုင် ကာ် မို ့)
2,2,ကယားြပည်နယ်,6။ လာဓမ္မရပ်ကွက် (လွိုင် ကာ် မို ့)
2,2,ကယားြပည်နယ်,7။  ဒါတမ္မရပ်ကွက်(လွိုင် ကာ် မို ့)
2,2,ကယားြပည်နယ်,8။  ဒါဥခူရပ်ကွက်  (လွိုင် ကာ် မို ့)
2,2,ကယားြပည်နယ်,9။  ရှမ်းစရပ်ကွက်  (လွိုင် ကာ် မို ့)
2,2,ကယားြပည်နယ်,10။ ပန်ကန်း ကျးရွာအပ်စ
2,2,ကယားြပည်နယ်,11။ မ ထာခူ ကျးရွာ အပ်စ
2,2,ကယားြပည်နယ်,12။ လာပိတ ကျးရွာအပ်စ
2,2,ကယားြပည်နယ်,13။ ပါ လာင်း ကျးရွာ အပ်စ။
3,6,ကယားြပည်နယ်,ဒီး မာ့ဆိ မို ့နယ်အတွင်းရှိ  2။  ဘရားြဖူ ကျးရွာအပ်စ
3,6,ကယားြပည်နယ်,3။  နန်းမယ်ခ ကျးရွာအပ်စ
3,6,ကယားြပည်နယ်,4။  အိ က ကျးရွာအပ်စ
3,6,ကယားြပည်နယ်,5။  ဒါဘူးကူး ကျးရွာ  အပ်စ
3,6,ကယားြပည်နယ်,မိင် ကျးရွာ အပ်စ
3,6,ကယားြပည်နယ်,8။  ဒါက လာ် ဒူ ကျးရွာ အပ်စ
3,6,ကယားြပည်နယ်,9။  ဒါဖ ကျးရွာ အပ်စ
3,6,ကယားြပည်နယ်,10။ ထီးဖိးကလိး ကျးရွာအပ်စ
3,6,ကယားြပည်နယ်,11။ ဒါတမ ကီး ကျးရွာအပ်စ။
4,4,ကယားြပည်နယ်,ဒီး မာ့ဆိ မို ့နယ်အတွင်းရှိ 1။ မို ့မရပ်ကွက် (ဒီး မာ့ဆိ မို ့)
4,4,ကယားြပည်နယ်,2။ ဆာင်ဒူ ရွာသစ် ကျးရွာ အပ်စ
4,4,ကယားြပည်နယ်,3။ သးဆူလဲ  ကျးရွာ  အပ်စ
4,4,ကယားြပည်နယ်,4။ ဝါ သာခိရွာသစ် ကျးရွာ အပ်စ
4,4,ကယားြပည်နယ်,5။  ဒါ တာ်ကူး  ကျးရွာ အပ်စ
4,4,ကယားြပည်နယ်,6။  နာင်ပလဲ ကျးရွာ အပ်စ
4,4,ကယားြပည်နယ်,7။ ဒီး မာ့ဆိ  ကျးရွာ အပ်စ
4,4,ကယားြပည်နယ်,8။  ဒါ ရာက်ခူ ကျးရွာ အပ်စ
4,4,ကယားြပည်နယ်,9။ လိဘာခိ  ကျးရွာ အပ်စ
4,4,ကယားြပည်နယ်,10။ ဝါဘန်းပလိ ့ ကျးရွာ အပ်စ
4,4,ကယားြပည်နယ်,11။ လိပူ  ကျးရွာ အပ်စ
4,4,ကယားြပည်နယ်,12။ ြမလဲ ကျးရွာ အပ်စ
4,4,ကယားြပည်နယ်,13။ ဟိဝမ် ကျးရွာ  အပ်စ
4,4,ကယားြပည်နယ်,14။ ဆာင်ဒူလာ ကျးရွာ အပ်စ
4,4,ကယားြပည်နယ်,15။ ပန်ပက် ကျးရွာ  အပ်စ
4,4,ကယားြပည်နယ်,16။ ခူးပရာ ကျးရွာ အပ်စ။
5,5,ကျးရွာ အပ်စ။,ဖရူဆိ မို ့နယ်အတွင်းရှိ 1။  2။ ထီးကူးဆိရပ်ကွက(် ဖရူဆိ မို ့)
